itl2_code,itl2_name,year,average_house_price
TLC3,Tees Valley,1995,40850.25
TLC4,"Northumberland, Durham and Tyne & Wear",1995,40535.84523809524
TLD1,Cumbria,1995,43739.458333333336
TLD3,Greater Manchester,1995,40652.99166666667
TLD4,Lancashire,1995,43579.11309523809
TLD6,Cheshire,1995,52614.47222222222
TLD7,Merseyside,1995,39906.430555555555
TLE1,East Yorkshire and Northern Lincolnshire,1995,39464.916666666664
TLE2,North Yorkshire,1995,56131.708333333336
TLE3,South Yorkshire,1995,37486.1875
TLE4,West Yorkshire,1995,42612.51666666667
TLF1,Derbyshire and Nottinghamshire,1995,44529.333333333336
TLF2,"Leicestershire, Rutland and Northamptonshire",1995,51117.643939393936
TLF3,Lincolnshire,1995,42071.42857142857
TLG1,"Herefordshire, Worcestershire and Warwickshire",1995,58447.15277777778
TLG2,Shropshire and Staffordshire,1995,46639.507575757576
TLG3,West Midlands,1995,44982.27380952381
TLH2,Bedfordshire and Hertfordshire,1995,70062.1217948718
TLH3,Essex,1995,61612.15476190476
TLH4,Cambridgeshire and Peterborough,1995,58396.416666666664
TLH5,Norfolk,1995,46755.40476190476
TLH6,Suffolk,1995,51402.86666666667
TLI3,Inner London - West,1995,132909.27777777778
TLI4,Inner London - East,1995,73301.15625
TLI5,Outer London - East and North East,1995,66396.80952380953
TLI6,Outer London - South,1995,79525.96666666666
TLI7,Outer London - West and North West,1995,89087.65476190476
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1995,73839.55128205128
TLJ2,"Surrey, East and West Sussex",1995,74311.07986111111
TLJ3,Hampshire and Isle of Wight,1995,62369.77380952381
TLJ4,Kent,1995,58831.03846153846
TLK3,Cornwall and Isles of Scilly,1995,46705.833333333336
TLK4,Devon,1995,52462.25
TLK5,West of England,1995,52971.02777777778
TLK6,"North Somerset, Somerset and Dorset",1995,55164.4375
TLK7,Gloucestershire and Wiltshire,1995,57362.885416666664
TLL3,North Wales,1995,41662.444444444445
TLL4,Mid and South West Wales,1995,41794.61111111111
TLL5,South East Wales,1995,40500.25
TLC3,Tees Valley,1996,40284.666666666664
TLC4,"Northumberland, Durham and Tyne & Wear",1996,40530.28571428572
TLD1,Cumbria,1996,43084.708333333336
TLD3,Greater Manchester,1996,40582.9
TLD4,Lancashire,1996,42904.07738095238
TLD6,Cheshire,1996,52855.944444444445
TLD7,Merseyside,1996,40040.375
TLE1,East Yorkshire and Northern Lincolnshire,1996,39395.625
TLE2,North Yorkshire,1996,55586.0
TLE3,South Yorkshire,1996,37345.604166666664
TLE4,West Yorkshire,1996,42357.38333333333
TLF1,Derbyshire and Nottinghamshire,1996,44726.50490196078
TLF2,"Leicestershire, Rutland and Northamptonshire",1996,51843.568181818184
TLF3,Lincolnshire,1996,42503.34523809524
TLG1,"Herefordshire, Worcestershire and Warwickshire",1996,59221.145833333336
TLG2,Shropshire and Staffordshire,1996,47239.44696969697
TLG3,West Midlands,1996,45271.97619047619
TLH2,Bedfordshire and Hertfordshire,1996,71095.57051282052
TLH3,Essex,1996,61882.32142857143
TLH4,Cambridgeshire and Peterborough,1996,58600.458333333336
TLH5,Norfolk,1996,46177.53571428572
TLH6,Suffolk,1996,51893.15
TLI3,Inner London - West,1996,141940.81944444444
TLI4,Inner London - East,1996,77097.5625
TLI5,Outer London - East and North East,1996,67816.55952380953
TLI6,Outer London - South,1996,81911.11666666667
TLI7,Outer London - West and North West,1996,92015.98809523809
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1996,75412.20512820513
TLJ2,"Surrey, East and West Sussex",1996,75735.44444444444
TLJ3,Hampshire and Isle of Wight,1996,63647.17857142857
TLJ4,Kent,1996,59976.4358974359
TLK3,Cornwall and Isles of Scilly,1996,47760.666666666664
TLK4,Devon,1996,52740.291666666664
TLK5,West of England,1996,54205.416666666664
TLK6,"North Somerset, Somerset and Dorset",1996,55987.083333333336
TLK7,Gloucestershire and Wiltshire,1996,58728.291666666664
TLL3,North Wales,1996,41569.27777777778
TLL4,Mid and South West Wales,1996,41433.041666666664
TLL5,South East Wales,1996,41186.78333333333
TLC3,Tees Valley,1997,41088.6
TLC4,"Northumberland, Durham and Tyne & Wear",1997,42258.166666666664
TLD1,Cumbria,1997,45509.833333333336
TLD3,Greater Manchester,1997,42488.666666666664
TLD4,Lancashire,1997,44680.92261904762
TLD6,Cheshire,1997,55760.22222222222
TLD7,Merseyside,1997,41137.416666666664
TLE1,East Yorkshire and Northern Lincolnshire,1997,39840.416666666664
TLE2,North Yorkshire,1997,58898.958333333336
TLE3,South Yorkshire,1997,38664.625
TLE4,West Yorkshire,1997,43843.15
TLF1,Derbyshire and Nottinghamshire,1997,47047.92647058824
TLF2,"Leicestershire, Rutland and Northamptonshire",1997,55890.666666666664
TLF3,Lincolnshire,1997,44930.76190476191
TLG1,"Herefordshire, Worcestershire and Warwickshire",1997,64640.083333333336
TLG2,Shropshire and Staffordshire,1997,50300.530303030304
TLG3,West Midlands,1997,48067.880952380954
TLH2,Bedfordshire and Hertfordshire,1997,80477.64102564103
TLH3,Essex,1997,68711.17261904762
TLH4,Cambridgeshire and Peterborough,1997,64316.875
TLH5,Norfolk,1997,50139.333333333336
TLH6,Suffolk,1997,56030.9
TLI3,Inner London - West,1997,164725.05555555556
TLI4,Inner London - East,1997,88881.77083333333
TLI5,Outer London - East and North East,1997,74697.46428571429
TLI6,Outer London - South,1997,92812.8
TLI7,Outer London - West and North West,1997,106081.54761904762
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1997,86152.85256410256
TLJ2,"Surrey, East and West Sussex",1997,86029.88888888889
TLJ3,Hampshire and Isle of Wight,1997,71508.47619047618
TLJ4,Kent,1997,65985.48076923077
TLK3,Cornwall and Isles of Scilly,1997,52997.0
TLK4,Devon,1997,57352.066666666666
TLK5,West of England,1997,58979.805555555555
TLK6,"North Somerset, Somerset and Dorset",1997,61914.333333333336
TLK7,Gloucestershire and Wiltshire,1997,64066.854166666664
TLL3,North Wales,1997,44293.40277777778
TLL4,Mid and South West Wales,1997,43577.61111111111
TLL5,South East Wales,1997,43550.575
TLC3,Tees Valley,1998,41999.333333333336
TLC4,"Northumberland, Durham and Tyne & Wear",1998,44080.34523809524
TLD1,Cumbria,1998,47575.041666666664
TLD3,Greater Manchester,1998,44309.425
TLD4,Lancashire,1998,46093.96428571428
TLD6,Cheshire,1998,59155.11111111111
TLD7,Merseyside,1998,41980.13888888889
TLE1,East Yorkshire and Northern Lincolnshire,1998,40163.104166666664
TLE2,North Yorkshire,1998,61954.833333333336
TLE3,South Yorkshire,1998,39691.6875
TLE4,West Yorkshire,1998,44752.85
TLF1,Derbyshire and Nottinghamshire,1998,49190.55392156863
TLF2,"Leicestershire, Rutland and Northamptonshire",1998,60162.97727272727
TLF3,Lincolnshire,1998,47389.27380952381
TLG1,"Herefordshire, Worcestershire and Warwickshire",1998,70444.21527777778
TLG2,Shropshire and Staffordshire,1998,53628.84848484849
TLG3,West Midlands,1998,50689.69047619047
TLH2,Bedfordshire and Hertfordshire,1998,92090.72435897436
TLH3,Essex,1998,76798.30952380953
TLH4,Cambridgeshire and Peterborough,1998,71919.51388888889
TLH5,Norfolk,1998,53971.607142857145
TLH6,Suffolk,1998,61293.683333333334
TLI3,Inner London - West,1998,188949.09722222222
TLI4,Inner London - East,1998,101663.07291666667
TLI5,Outer London - East and North East,1998,83598.72619047618
TLI6,Outer London - South,1998,106144.48333333334
TLI7,Outer London - West and North West,1998,123053.30952380953
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1998,99321.23076923077
TLJ2,"Surrey, East and West Sussex",1998,98985.98958333333
TLJ3,Hampshire and Isle of Wight,1998,80252.25
TLJ4,Kent,1998,73324.72435897436
TLK3,Cornwall and Isles of Scilly,1998,57814.75
TLK4,Devon,1998,62117.26666666667
TLK5,West of England,1998,65085.555555555555
TLK6,"North Somerset, Somerset and Dorset",1998,68965.85416666667
TLK7,Gloucestershire and Wiltshire,1998,71000.80208333333
TLL3,North Wales,1998,46188.833333333336
TLL4,Mid and South West Wales,1998,46386.583333333336
TLL5,South East Wales,1998,45279.958333333336
TLC3,Tees Valley,1999,42625.78333333333
TLC4,"Northumberland, Durham and Tyne & Wear",1999,45838.69047619047
TLD1,Cumbria,1999,49443.583333333336
TLD3,Greater Manchester,1999,46237.36666666667
TLD4,Lancashire,1999,47893.90476190476
TLD6,Cheshire,1999,63902.444444444445
TLD7,Merseyside,1999,44440.375
TLE1,East Yorkshire and Northern Lincolnshire,1999,41028.8125
TLE2,North Yorkshire,1999,65471.291666666664
TLE3,South Yorkshire,1999,41478.958333333336
TLE4,West Yorkshire,1999,45845.416666666664
TLF1,Derbyshire and Nottinghamshire,1999,51951.705882352944
TLF2,"Leicestershire, Rutland and Northamptonshire",1999,64097.38636363636
TLF3,Lincolnshire,1999,50070.22619047619
TLG1,"Herefordshire, Worcestershire and Warwickshire",1999,76127.38194444444
TLG2,Shropshire and Staffordshire,1999,56676.48484848485
TLG3,West Midlands,1999,54015.51190476191
TLH2,Bedfordshire and Hertfordshire,1999,101608.72435897436
TLH3,Essex,1999,83212.42261904762
TLH4,Cambridgeshire and Peterborough,1999,77177.98611111111
TLH5,Norfolk,1999,58524.40476190476
TLH6,Suffolk,1999,67853.56666666667
TLI3,Inner London - West,1999,215965.61111111112
TLI4,Inner London - East,1999,117226.65625
TLI5,Outer London - East and North East,1999,91442.28571428571
TLI6,Outer London - South,1999,118075.03333333334
TLI7,Outer London - West and North West,1999,137412.2619047619
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",1999,110636.64743589744
TLJ2,"Surrey, East and West Sussex",1999,110276.53472222222
TLJ3,Hampshire and Isle of Wight,1999,88028.64880952382
TLJ4,Kent,1999,80488.07051282052
TLK3,Cornwall and Isles of Scilly,1999,62769.0
TLK4,Devon,1999,67495.98333333334
TLK5,West of England,1999,73463.05555555556
TLK6,"North Somerset, Somerset and Dorset",1999,76160.75
TLK7,Gloucestershire and Wiltshire,1999,78844.22916666667
TLL3,North Wales,1999,48622.61111111111
TLL4,Mid and South West Wales,1999,47318.11111111111
TLL5,South East Wales,1999,47602.433333333334
TLC3,Tees Valley,2000,44491.8
TLC4,"Northumberland, Durham and Tyne & Wear",2000,48254.19047619047
TLD1,Cumbria,2000,52995.458333333336
TLD3,Greater Manchester,2000,50339.55
TLD4,Lancashire,2000,50576.91071428572
TLD6,Cheshire,2000,70384.5
TLD7,Merseyside,2000,47539.416666666664
TLE1,East Yorkshire and Northern Lincolnshire,2000,42676.145833333336
TLE2,North Yorkshire,2000,74685.66666666667
TLE3,South Yorkshire,2000,43529.041666666664
TLE4,West Yorkshire,2000,48825.45
TLF1,Derbyshire and Nottinghamshire,2000,57108.94607843137
TLF2,"Leicestershire, Rutland and Northamptonshire",2000,73009.12878787878
TLF3,Lincolnshire,2000,55712.15476190476
TLG1,"Herefordshire, Worcestershire and Warwickshire",2000,86513.98611111111
TLG2,Shropshire and Staffordshire,2000,62438.21212121212
TLG3,West Midlands,2000,60074.45238095238
TLH2,Bedfordshire and Hertfordshire,2000,122837.91666666667
TLH3,Essex,2000,99888.25595238095
TLH4,Cambridgeshire and Peterborough,2000,91422.76388888889
TLH5,Norfolk,2000,69457.30952380953
TLH6,Suffolk,2000,79163.15
TLI3,Inner London - West,2000,268823.1388888889
TLI4,Inner London - East,2000,146922.48958333334
TLI5,Outer London - East and North East,2000,109742.38095238095
TLI6,Outer London - South,2000,146335.85
TLI7,Outer London - West and North West,2000,168864.11904761905
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2000,135706.5576923077
TLJ2,"Surrey, East and West Sussex",2000,133975.04861111112
TLJ3,Hampshire and Isle of Wight,2000,105993.63095238095
TLJ4,Kent,2000,96028.34615384616
TLK3,Cornwall and Isles of Scilly,2000,73334.41666666667
TLK4,Devon,2000,79226.49166666667
TLK5,West of England,2000,91121.25
TLK6,"North Somerset, Somerset and Dorset",2000,91097.3125
TLK7,Gloucestershire and Wiltshire,2000,93748.4375
TLL3,North Wales,2000,52219.944444444445
TLL4,Mid and South West Wales,2000,51960.72222222222
TLL5,South East Wales,2000,51544.058333333334
TLC3,Tees Valley,2001,46273.95
TLC4,"Northumberland, Durham and Tyne & Wear",2001,52054.857142857145
TLD1,Cumbria,2001,57228.0
TLD3,Greater Manchester,2001,55622.50833333333
TLD4,Lancashire,2001,54097.06547619047
TLD6,Cheshire,2001,78685.08333333333
TLD7,Merseyside,2001,52290.52777777778
TLE1,East Yorkshire and Northern Lincolnshire,2001,45839.229166666664
TLE2,North Yorkshire,2001,85858.58333333333
TLE3,South Yorkshire,2001,46039.041666666664
TLE4,West Yorkshire,2001,52885.21666666667
TLF1,Derbyshire and Nottinghamshire,2001,64221.436274509804
TLF2,"Leicestershire, Rutland and Northamptonshire",2001,82073.72727272728
TLF3,Lincolnshire,2001,62948.630952380954
TLG1,"Herefordshire, Worcestershire and Warwickshire",2001,96148.11805555556
TLG2,Shropshire and Staffordshire,2001,69512.56060606061
TLG3,West Midlands,2001,67232.16666666667
TLH2,Bedfordshire and Hertfordshire,2001,137414.9423076923
TLH3,Essex,2001,113957.11904761905
TLH4,Cambridgeshire and Peterborough,2001,104199.04166666667
TLH5,Norfolk,2001,80286.19047619047
TLH6,Suffolk,2001,90296.83333333333
TLI3,Inner London - West,2001,301655.8611111111
TLI4,Inner London - East,2001,167873.9375
TLI5,Outer London - East and North East,2001,124615.71428571429
TLI6,Outer London - South,2001,161123.81666666668
TLI7,Outer London - West and North West,2001,186054.9880952381
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2001,149487.05128205128
TLJ2,"Surrey, East and West Sussex",2001,149652.11111111112
TLJ3,Hampshire and Isle of Wight,2001,119619.33333333333
TLJ4,Kent,2001,108340.72435897436
TLK3,Cornwall and Isles of Scilly,2001,84075.66666666667
TLK4,Devon,2001,91946.74166666667
TLK5,West of England,2001,103005.0
TLK6,"North Somerset, Somerset and Dorset",2001,101837.25
TLK7,Gloucestershire and Wiltshire,2001,105083.1875
TLL3,North Wales,2001,56842.86111111111
TLL4,Mid and South West Wales,2001,56371.430555555555
TLL5,South East Wales,2001,55641.191666666666
TLC3,Tees Valley,2002,52321.6
TLC4,"Northumberland, Durham and Tyne & Wear",2002,61658.869047619046
TLD1,Cumbria,2002,66415.875
TLD3,Greater Manchester,2002,64705.208333333336
TLD4,Lancashire,2002,62241.333333333336
TLD6,Cheshire,2002,92924.72222222222
TLD7,Merseyside,2002,60160.930555555555
TLE1,East Yorkshire and Northern Lincolnshire,2002,54346.6875
TLE2,North Yorkshire,2002,106014.83333333333
TLE3,South Yorkshire,2002,53978.1875
TLE4,West Yorkshire,2002,61590.1
TLF1,Derbyshire and Nottinghamshire,2002,76951.82843137255
TLF2,"Leicestershire, Rutland and Northamptonshire",2002,99371.62878787878
TLF3,Lincolnshire,2002,77918.54761904762
TLG1,"Herefordshire, Worcestershire and Warwickshire",2002,113961.66666666667
TLG2,Shropshire and Staffordshire,2002,82332.64393939394
TLG3,West Midlands,2002,80145.47619047618
TLH2,Bedfordshire and Hertfordshire,2002,161609.28846153847
TLH3,Essex,2002,137742.68452380953
TLH4,Cambridgeshire and Peterborough,2002,125056.80555555556
TLH5,Norfolk,2002,99378.91666666667
TLH6,Suffolk,2002,111089.6
TLI3,Inner London - West,2002,336183.4583333333
TLI4,Inner London - East,2002,195447.4375
TLI5,Outer London - East and North East,2002,149724.13095238095
TLI6,Outer London - South,2002,187303.66666666666
TLI7,Outer London - West and North West,2002,216878.55952380953
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2002,172478.28205128206
TLJ2,"Surrey, East and West Sussex",2002,173532.61111111112
TLJ3,Hampshire and Isle of Wight,2002,140648.92261904763
TLJ4,Kent,2002,128595.71794871795
TLK3,Cornwall and Isles of Scilly,2002,107136.66666666667
TLK4,Devon,2002,114243.95833333333
TLK5,West of England,2002,123557.86111111111
TLK6,"North Somerset, Somerset and Dorset",2002,123510.27083333333
TLK7,Gloucestershire and Wiltshire,2002,124646.64583333333
TLL3,North Wales,2002,67720.08333333333
TLL4,Mid and South West Wales,2002,64932.125
TLL5,South East Wales,2002,64400.73333333333
TLC3,Tees Valley,2003,66017.63333333333
TLC4,"Northumberland, Durham and Tyne & Wear",2003,80376.76190476191
TLD1,Cumbria,2003,82052.70833333333
TLD3,Greater Manchester,2003,79616.3
TLD4,Lancashire,2003,78084.27976190476
TLD6,Cheshire,2003,115338.94444444444
TLD7,Merseyside,2003,73982.65277777778
TLE1,East Yorkshire and Northern Lincolnshire,2003,70053.75
TLE2,North Yorkshire,2003,130951.5
TLE3,South Yorkshire,2003,69321.75
TLE4,West Yorkshire,2003,78216.25
TLF1,Derbyshire and Nottinghamshire,2003,99721.72549019608
TLF2,"Leicestershire, Rutland and Northamptonshire",2003,124505.87121212122
TLF3,Lincolnshire,2003,101390.83333333333
TLG1,"Herefordshire, Worcestershire and Warwickshire",2003,137531.77777777778
TLG2,Shropshire and Staffordshire,2003,102777.16666666667
TLG3,West Midlands,2003,99951.70238095238
TLH2,Bedfordshire and Hertfordshire,2003,189674.04487179487
TLH3,Essex,2003,166578.94642857142
TLH4,Cambridgeshire and Peterborough,2003,145980.48611111112
TLH5,Norfolk,2003,120244.54761904762
TLH6,Suffolk,2003,132227.78333333333
TLI3,Inner London - West,2003,348835.47222222225
TLI4,Inner London - East,2003,217573.52083333334
TLI5,Outer London - East and North East,2003,179486.86904761905
TLI6,Outer London - South,2003,214799.48333333334
TLI7,Outer London - West and North West,2003,245779.86904761905
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2003,195081.67307692306
TLJ2,"Surrey, East and West Sussex",2003,200024.52777777778
TLJ3,Hampshire and Isle of Wight,2003,164926.92261904763
TLJ4,Kent,2003,154370.4871794872
TLK3,Cornwall and Isles of Scilly,2003,138782.75
TLK4,Devon,2003,140492.73333333334
TLK5,West of England,2003,148428.66666666666
TLK6,"North Somerset, Somerset and Dorset",2003,149040.41666666666
TLK7,Gloucestershire and Wiltshire,2003,147576.29166666666
TLL3,North Wales,2003,87697.18055555556
TLL4,Mid and South West Wales,2003,83050.80555555556
TLL5,South East Wales,2003,79665.63333333333
TLC3,Tees Valley,2004,87467.6
TLC4,"Northumberland, Durham and Tyne & Wear",2004,104149.90476190476
TLD1,Cumbria,2004,106389.08333333333
TLD3,Greater Manchester,2004,101457.75833333333
TLD4,Lancashire,2004,101370.23809523809
TLD6,Cheshire,2004,139466.58333333334
TLD7,Merseyside,2004,99201.66666666667
TLE1,East Yorkshire and Northern Lincolnshire,2004,89402.95833333333
TLE2,North Yorkshire,2004,155810.08333333334
TLE3,South Yorkshire,2004,91442.97916666667
TLE4,West Yorkshire,2004,98935.06666666667
TLF1,Derbyshire and Nottinghamshire,2004,120080.25
TLF2,"Leicestershire, Rutland and Northamptonshire",2004,144891.2803030303
TLF3,Lincolnshire,2004,120502.92857142857
TLG1,"Herefordshire, Worcestershire and Warwickshire",2004,159982.54861111112
TLG2,Shropshire and Staffordshire,2004,124100.43181818182
TLG3,West Midlands,2004,118580.23809523809
TLH2,Bedfordshire and Hertfordshire,2004,206079.15384615384
TLH3,Essex,2004,185290.64285714287
TLH4,Cambridgeshire and Peterborough,2004,162972.33333333334
TLH5,Norfolk,2004,137827.7142857143
TLH6,Suffolk,2004,150720.26666666666
TLI3,Inner London - West,2004,378452.4861111111
TLI4,Inner London - East,2004,235480.29166666666
TLI5,Outer London - East and North East,2004,196156.55952380953
TLI6,Outer London - South,2004,231594.31666666668
TLI7,Outer London - West and North West,2004,265896.45238095237
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2004,208855.2371794872
TLJ2,"Surrey, East and West Sussex",2004,216379.97222222222
TLJ3,Hampshire and Isle of Wight,2004,179856.8392857143
TLJ4,Kent,2004,174127.9358974359
TLK3,Cornwall and Isles of Scilly,2004,165322.0
TLK4,Devon,2004,165711.575
TLK5,West of England,2004,164903.47222222222
TLK6,"North Somerset, Somerset and Dorset",2004,170678.9375
TLK7,Gloucestershire and Wiltshire,2004,165936.78125
TLL3,North Wales,2004,112877.38888888889
TLL4,Mid and South West Wales,2004,109635.56944444444
TLL5,South East Wales,2004,102525.2
TLM0,Eastern Scotland,2004,80719.80555555556
TLM1,East Central Scotland,2004,108635.1
TLM2,Highlands and Islands,2004,68232.61904761905
TLM3,West Central Scotland,2004,87822.19047619047
TLM5,North Eastern Scotland,2004,91115.33333333333
TLM9,Southern Scotland,2004,77096.94444444444
TLC3,Tees Valley,2005,103279.75
TLC4,"Northumberland, Durham and Tyne & Wear",2005,116950.34523809524
TLD1,Cumbria,2005,123612.75
TLD3,Greater Manchester,2005,117241.50833333333
TLD4,Lancashire,2005,117248.83928571429
TLD6,Cheshire,2005,154164.16666666666
TLD7,Merseyside,2005,114192.41666666667
TLE1,East Yorkshire and Northern Lincolnshire,2005,101619.22916666667
TLE2,North Yorkshire,2005,170002.16666666666
TLE3,South Yorkshire,2005,106092.4375
TLE4,West Yorkshire,2005,114824.11666666667
TLF1,Derbyshire and Nottinghamshire,2005,131497.51960784313
TLF2,"Leicestershire, Rutland and Northamptonshire",2005,154899.12878787878
TLF3,Lincolnshire,2005,130741.10714285714
TLG1,"Herefordshire, Worcestershire and Warwickshire",2005,172168.99305555556
TLG2,Shropshire and Staffordshire,2005,136949.88636363635
TLG3,West Midlands,2005,128308.19047619047
TLH2,Bedfordshire and Hertfordshire,2005,213762.73076923078
TLH3,Essex,2005,193375.7380952381
TLH4,Cambridgeshire and Peterborough,2005,171942.25
TLH5,Norfolk,2005,148437.54761904763
TLH6,Suffolk,2005,160661.75
TLI3,Inner London - West,2005,393643.68055555556
TLI4,Inner London - East,2005,243901.55208333334
TLI5,Outer London - East and North East,2005,202943.52380952382
TLI6,Outer London - South,2005,238157.93333333332
TLI7,Outer London - West and North West,2005,272232.4761904762
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2005,217821.13461538462
TLJ2,"Surrey, East and West Sussex",2005,224691.54166666666
TLJ3,Hampshire and Isle of Wight,2005,187161.97619047618
TLJ4,Kent,2005,182174.38461538462
TLK3,Cornwall and Isles of Scilly,2005,178432.83333333334
TLK4,Devon,2005,177379.225
TLK5,West of England,2005,173811.13888888888
TLK6,"North Somerset, Somerset and Dorset",2005,178923.875
TLK7,Gloucestershire and Wiltshire,2005,175322.82291666666
TLL3,North Wales,2005,130933.875
TLL4,Mid and South West Wales,2005,127618.08333333333
TLL5,South East Wales,2005,117068.1
TLM0,Eastern Scotland,2005,94957.44444444444
TLM1,East Central Scotland,2005,122056.26666666666
TLM2,Highlands and Islands,2005,84201.10714285714
TLM3,West Central Scotland,2005,100510.46428571429
TLM5,North Eastern Scotland,2005,106751.16666666667
TLM9,Southern Scotland,2005,91395.63888888889
TLN0,Northern Ireland,2005,114916.84090909091
TLC3,Tees Valley,2006,113846.31666666667
TLC4,"Northumberland, Durham and Tyne & Wear",2006,126040.73809523809
TLD1,Cumbria,2006,136377.16666666666
TLD3,Greater Manchester,2006,126632.25
TLD4,Lancashire,2006,127382.89285714286
TLD6,Cheshire,2006,160095.30555555556
TLD7,Merseyside,2006,123102.88888888889
TLE1,East Yorkshire and Northern Lincolnshire,2006,110277.41666666667
TLE2,North Yorkshire,2006,179331.58333333334
TLE3,South Yorkshire,2006,115635.29166666667
TLE4,West Yorkshire,2006,125180.15
TLF1,Derbyshire and Nottinghamshire,2006,137743.1862745098
TLF2,"Leicestershire, Rutland and Northamptonshire",2006,160823.53787878787
TLF3,Lincolnshire,2006,137159.75
TLG1,"Herefordshire, Worcestershire and Warwickshire",2006,179595.11805555556
TLG2,Shropshire and Staffordshire,2006,144644.8106060606
TLG3,West Midlands,2006,135190.22619047618
TLH2,Bedfordshire and Hertfordshire,2006,223191.5128205128
TLH3,Essex,2006,201974.67857142858
TLH4,Cambridgeshire and Peterborough,2006,184079.04166666666
TLH5,Norfolk,2006,157093.89285714287
TLH6,Suffolk,2006,168782.0
TLI3,Inner London - West,2006,434247.72222222225
TLI4,Inner London - East,2006,263409.53125
TLI5,Outer London - East and North East,2006,211810.07142857142
TLI6,Outer London - South,2006,248141.15
TLI7,Outer London - West and North West,2006,286944.9880952381
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2006,230024.2564102564
TLJ2,"Surrey, East and West Sussex",2006,236500.02083333334
TLJ3,Hampshire and Isle of Wight,2006,194824.08333333334
TLJ4,Kent,2006,191655.14743589744
TLK3,Cornwall and Isles of Scilly,2006,187024.08333333334
TLK4,Devon,2006,186306.45
TLK5,West of England,2006,183828.91666666666
TLK6,"North Somerset, Somerset and Dorset",2006,187856.70833333334
TLK7,Gloucestershire and Wiltshire,2006,185603.08333333334
TLL3,North Wales,2006,138809.30555555556
TLL4,Mid and South West Wales,2006,137603.86111111112
TLL5,South East Wales,2006,125597.55833333333
TLM0,Eastern Scotland,2006,109182.75
TLM1,East Central Scotland,2006,137445.01666666666
TLM2,Highlands and Islands,2006,94735.64285714286
TLM3,West Central Scotland,2006,112424.08333333333
TLM5,North Eastern Scotland,2006,129232.45833333333
TLM9,Southern Scotland,2006,103873.65277777778
TLN0,Northern Ireland,2006,147439.0
TLC3,Tees Valley,2007,123185.05
TLC4,"Northumberland, Durham and Tyne & Wear",2007,133857.02380952382
TLD1,Cumbria,2007,147423.83333333334
TLD3,Greater Manchester,2007,137146.26666666666
TLD4,Lancashire,2007,138969.38095238095
TLD6,Cheshire,2007,171498.13888888888
TLD7,Merseyside,2007,130132.26388888889
TLE1,East Yorkshire and Northern Lincolnshire,2007,119228.47916666667
TLE2,North Yorkshire,2007,194372.66666666666
TLE3,South Yorkshire,2007,124029.77083333333
TLE4,West Yorkshire,2007,135643.1
TLF1,Derbyshire and Nottinghamshire,2007,145314.8137254902
TLF2,"Leicestershire, Rutland and Northamptonshire",2007,173204.19696969696
TLF3,Lincolnshire,2007,147050.67857142858
TLG1,"Herefordshire, Worcestershire and Warwickshire",2007,190732.88888888888
TLG2,Shropshire and Staffordshire,2007,153739.4393939394
TLG3,West Midlands,2007,142797.75
TLH2,Bedfordshire and Hertfordshire,2007,245048.7371794872
TLH3,Essex,2007,219105.25595238095
TLH4,Cambridgeshire and Peterborough,2007,201079.59722222222
TLH5,Norfolk,2007,172322.30952380953
TLH6,Suffolk,2007,185040.66666666666
TLI3,Inner London - West,2007,527230.5972222222
TLI4,Inner London - East,2007,307953.34375
TLI5,Outer London - East and North East,2007,234673.16666666666
TLI6,Outer London - South,2007,280791.4666666667
TLI7,Outer London - West and North West,2007,323195.46428571426
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2007,254371.89743589744
TLJ2,"Surrey, East and West Sussex",2007,263064.3020833333
TLJ3,Hampshire and Isle of Wight,2007,213202.05357142858
TLJ4,Kent,2007,208250.0128205128
TLK3,Cornwall and Isles of Scilly,2007,202887.5
TLK4,Devon,2007,201898.3
TLK5,West of England,2007,205642.80555555556
TLK6,"North Somerset, Somerset and Dorset",2007,206100.35416666666
TLK7,Gloucestershire and Wiltshire,2007,199568.83333333334
TLL3,North Wales,2007,148070.30555555556
TLL4,Mid and South West Wales,2007,147668.91666666666
TLL5,South East Wales,2007,134127.36666666667
TLM0,Eastern Scotland,2007,125736.63888888889
TLM1,East Central Scotland,2007,156819.73333333334
TLM2,Highlands and Islands,2007,111361.89285714286
TLM3,West Central Scotland,2007,124004.32142857143
TLM5,North Eastern Scotland,2007,168031.375
TLM9,Southern Scotland,2007,118114.70833333333
TLN0,Northern Ireland,2007,203311.5909090909
TLC3,Tees Valley,2008,119701.65
TLC4,"Northumberland, Durham and Tyne & Wear",2008,130018.96428571429
TLD1,Cumbria,2008,145927.875
TLD3,Greater Manchester,2008,133536.35833333334
